iter	Passed	Remaining
703	4072	1712
704	4078	1706
705	4084	1700
706	4090	1695
707	4097	1689
708	4103	1684
709	4108	1678
710	4114	1672
711	4121	1666
712	4130	1662
713	4142	1659
714	4150	1654
715	4164	1652
716	4171	1646
717	4177	1640
718	4184	1635
719	4190	1629
720	4195	1623
721	4201	1617
722	4207	1611
723	4212	1605
724	4218	1599
725	4223	1594
726	4229	1588
727	4234	1582
728	4240	1576
729	4246	1570
730	4251	1564
731	4257	1558
732	4262	1552
733	4268	1546
734	4273	1540
735	4278	1534
736	4283	1528
737	4289	1522
738	4294	1516
739	4299	1510
740	4304	1504
741	4310	1498
742	4315	1492
743	4321	1486
744	4327	1481
745	4333	1475
746	4339	1469
747	4345	1463
748	4351	1458
749	4356	1452
750	4362	1446
751	4368	1440
752	4374	1434
753	4379	1428
754	4384	1422
755	4390	1416
756	4395	1410
757	4400	1404
758	4406	1399
759	4411	1393
760	4417	1387
761	4437	1386
762	4443	1380
763	4449	1374
764	4455	1368
765	4460	1362
766	4465	1356
767	4471	1350
768	4476	1344
769	4481	1338
770	4487	1332
771	4492	1326
772	4497	1320
773	4502	1314
774	4507	1308
775	4514	1303
776	4520	1297
777	4525	1291
778	4531	1285
779	4536	1279
780	4542	1273
781	4548	1267
782	4553	1262
783	4559	1256
784	4564	1250
785	4570	1244
786	4575	1238
787	4581	1232
788	4586	1226
789	4592	1220
790	4597	1214
791	4603	1208
792	4608	1202
793	4614	1197
794	4619	1191
795	4624	1185
796	4630	1179
797	4635	1173
798	4641	1167
799	4646	1161
800	4652	1155
801	4657	1149
802	4662	1143
803	4668	1138
804	4673	1132
805	4678	1126
806	4684	1120
807	4690	1114
808	4695	1108
809	4701	1102
810	4707	1096
811	4712	1091
812	4718	1085
813	4724	1079
814	4730	1073
815	4736	1068
816	4742	1062
817	4747	1056
818	4752	1050
819	4758	1044
820	4764	1038
821	4769	1032
822	4775	1027
823	4781	1021
824	4786	1015
825	4791	1009
826	4797	1003
827	4802	997
828	4808	991
829	4813	985
830	4819	980
831	4825	974
832	4830	968
833	4835	962
834	4840	956
835	4846	950
836	4852	944
837	4857	939
838	4862	933
839	4868	927
840	4873	921
841	4879	915
842	4885	909
843	4890	903
844	4895	898
845	4901	892
846	4907	886
847	4913	880
848	4919	874
849	4924	869
850	4930	863
851	4935	857
852	4940	851
853	4945	845
854	4951	839
855	4957	833
856	4963	828
857	4969	822
858	4975	816
859	4981	810
860	4987	805
861	4993	799
862	4998	793
863	5004	787
864	5010	781
865	5016	776
866	5022	770
867	5028	764
868	5034	758
869	5041	753
870	5047	747
871	5053	741
872	5059	736
873	5065	730
874	5070	724
875	5076	718
876	5081	712
877	5087	706
878	5093	701
879	5098	695
880	5104	689
881	5109	683
882	5115	677
883	5121	672
884	5126	666
885	5132	660
886	5137	654
887	5143	648
888	5148	642
889	5154	637
890	5159	631
891	5164	625
892	5169	619
893	5175	613
894	5180	607
895	5186	601
896	5191	596
897	5197	590
898	5203	584
899	5209	578
900	5214	572
901	5220	567
902	5225	561
903	5231	555
904	5237	549
905	5242	543
906	5248	538
907	5254	532
908	5259	526
909	5265	520
910	5270	514
911	5276	509
912	5281	503
913	5287	497
914	5292	491
915	5298	485
916	5303	480
917	5308	474
918	5314	468
919	5319	462
920	5324	456
921	5330	450
922	5335	445
923	5340	439
924	5346	433
925	5351	427
926	5356	421
927	5361	416
928	5367	410
929	5372	404
930	5377	398
931	5382	392
932	5388	386
933	5393	381
934	5399	375
935	5404	369
936	5410	363
937	5415	357
938	5421	352
939	5427	346
940	5432	340
941	5437	334
942	5443	329
943	5448	323
944	5454	317
945	5460	311
946	5466	305
947	5472	300
948	5479	294
949	5486	288
950	5492	283
951	5498	277
952	5503	271
953	5509	265
954	5514	259
955	5520	254
956	5526	248
957	5531	242
958	5537	236
959	5543	230
960	5548	225
961	5553	219
962	5559	213
963	5564	207
964	5570	202
965	5575	196
966	5580	190
967	5585	184
968	5591	178
969	5597	173
970	5603	167
971	5609	161
972	5614	155
973	5620	150
974	5625	144
975	5631	138
976	5637	132
977	5642	126
978	5648	121
979	5653	115
980	5659	109
981	5665	103
982	5671	98
983	5676	92
984	5683	86
985	5688	80
986	5694	75
987	5711	69
988	5716	63
989	5722	57
990	5727	52
991	5733	46
992	5739	40
993	5745	34
994	5751	28
995	5757	23
996	5762	17
997	5768	11
998	5773	5
999	5779	0
